melanization,parental.pair,convergence,sex,age,mating.status,bloodfed
2,24,nonconverged,female,3,virgin,no
2,24,nonconverged,female,3,virgin,no
0,25,converged,male,1,virgin,no
0,25,converged,male,1,virgin,no
0,25,converged,male,1,virgin,no
1,25,converged,male,1,virgin,no
1,25,converged,male,1,virgin,no
0,25,converged,male,3,mated,no
0,25,converged,male,3,mated,no
0,25,converged,male,3,mated,no
0,25,converged,male,3,mated,no
1,25,converged,male,3,virgin,no
1,25,converged,male,3,virgin,no
1,25,converged,male,3,virgin,no
1,25,converged,female,1,virgin,no
2,25,converged,female,1,virgin,no
2,25,converged,female,1,virgin,no
2,25,converged,female,1,virgin,no
0,25,converged,female,3,mated,no
0,25,converged,female,3,mated,no
0,25,converged,female,3,mated,no
1,25,converged,female,3,mated,no
1,25,converged,female,3,mated,no
2,25,converged,female,3,mated,no
0,25,converged,female,3,virgin,no
1,25,converged,female,3,virgin,no
1,25,converged,female,3,virgin,no
2,25,converged,female,3,virgin,no
1,26,nonconverged,male,3,mated,no
2,26,nonconverged,male,3,mated,no
2,26,nonconverged,male,3,mated,no
2,26,nonconverged,male,3,mated,no
1,26,nonconverged,male,3,virgin,no
1,26,nonconverged,male,3,virgin,no
1,26,nonconverged,male,3,virgin,no
2,26,nonconverged,male,3,virgin,no
2,26,nonconverged,male,3,virgin,no
0,26,nonconverged,female,3,mated,no
0,26,nonconverged,female,3,mated,no
0,26,nonconverged,female,3,mated,no
2,26,nonconverged,female,3,mated,no
0,26,nonconverged,female,3,virgin,no
0,26,nonconverged,female,3,virgin,no
0,26,nonconverged,female,3,virgin,no
1,26,nonconverged,female,3,virgin,no
1,27,nonconverged,male,1,virgin,no
2,27,nonconverged,male,1,virgin,no
2,27,nonconverged,male,1,virgin,no
2,27,nonconverged,male,1,virgin,no
1,27,nonconverged,female,1,virgin,no
1,27,nonconverged,female,1,virgin,no
1,27,nonconverged,female,1,virgin,no
2,27,nonconverged,female,1,virgin,no
2,27,nonconverged,female,1,virgin,no
2,27,nonconverged,female,1,virgin,no
0,28,converged,male,3,mated,no
0,28,converged,male,3,mated,no
0,28,converged,male,3,mated,no
0,28,converged,male,3,mated,no
1,28,converged,male,3,mated,no
0,28,converged,female,3,mated,no
0,28,converged,female,3,mated,no
1,28,converged,female,3,mated,no
1,28,converged,female,3,mated,no
1,28,converged,female,3,mated,no
1,28,converged,female,3,mated,no
2,29,nonconverged,female,3,mated,no
2,29,nonconverged,female,3,mated,no
2,29,nonconverged,female,3,mated,no
2,29,nonconverged,female,3,mated,no
2,29,nonconverged,female,3,mated,no
0,30,converged,male,3,mated,no
0,30,converged,male,3,mated,no
2,30,converged,male,3,mated,no
2,30,converged,male,3,mated,no
0,30,converged,female,3,mated,no
1,30,converged,female,3,mated,no
